y2_state,y2_state_name,y2_statefips,y1_statefips,y1_state,y1_state_name,n1,n2,AGI
AL,Alabama,01,96,US+FO,AL Total Migration-US and Foreign,54852,107418,3629049
AL,Alabama,01,97,US,Total Migration-US,54303,106111,3588962
AL,Alabama,01,98,FO,Total Migration-Foreign,549,1307,40086
AL,Alabama,01,97,US,AL Total Migration-Same State,65526,126213,3575353
AL,Alabama,01,01,AL,AL Non-migrants,1617870,3382346,115299520
AL,Alabama,01,13,GA,Georgia,8704,16900,510255
AL,Alabama,01,12,FL,Florida,7865,14829,467978
AL,Alabama,01,47,TN,Tennessee,4509,8393,274587
AL,Alabama,01,48,TX,Texas,3854,7800,266546
AL,Alabama,01,28,MS,Mississippi,3101,5903,168646
AL,Alabama,01,06,CA,California,2492,4876,192602
AL,Alabama,01,37,NC,North Carolina,1782,3685,116597
AL,Alabama,01,51,VA,Virginia,1631,3426,151014
AL,Alabama,01,22,LA,Louisiana,1431,2834,118777
AL,Alabama,01,17,IL,Illinois,1416,2814,108209
AL,Alabama,01,08,CO,Colorado,1214,2419,84668
AL,Alabama,01,36,NY,New York,1192,2190,99556
AL,Alabama,01,45,SC,South Carolina,1118,2251,79932
AL,Alabama,01,39,OH,Ohio,1100,2102,63809
AL,Alabama,01,26,MI,Michigan,988,1879,57650
AL,Alabama,01,18,IN,Indiana,909,1801,72416
AL,Alabama,01,21,KY,Kentucky,869,1727,52461
AL,Alabama,01,53,WA,Washington,852,1825,68895
AL,Alabama,01,04,AZ,Arizona,819,1646,53745
AL,Alabama,01,42,PA,Pennsylvania,747,1408,49040
AL,Alabama,01,29,MO,Missouri,741,1457,45607
AL,Alabama,01,24,MD,Maryland,639,1321,53729
AL,Alabama,01,57,FR,Foreign,549,1307,40086
AL,Alabama,01,05,AR,Arkansas,482,925,37214
AL,Alabama,01,55,WI,Wisconsin,431,808,26386
AL,Alabama,01,40,OK,Oklahoma,431,863,25856
AL,Alabama,01,34,NJ,New Jersey,395,777,27266
AL,Alabama,01,20,KS,Kansas,385,794,28116
AL,Alabama,01,32,NV,Nevada,375,762,23738
AL,Alabama,01,25,MA,Massachusetts,319,556,24335
AL,Alabama,01,41,OR,Oregon,309,604,23320
AL,Alabama,01,19,IA,Iowa,294,514,15936
AL,Alabama,01,15,HI,Hawaii,270,628,18728
AL,Alabama,01,49,UT,Utah,268,619,18287
AL,Alabama,01,27,MN,Minnesota,256,474,19961
AL,Alabama,01,02,AK,Alaska,250,550,16589
AL,Alabama,01,09,CT,Connecticut,229,446,18875
AL,Alabama,01,35,NM,New Mexico,225,454,14986
AL,Alabama,01,54,WV,West Virginia,185,387,11161
AL,Alabama,01,16,ID,Idaho,166,358,11107
AL,Alabama,01,31,NE,Nebraska,164,342,9804
AL,Alabama,01,38,ND,North Dakota,121,267,7682
AL,Alabama,01,11,DC,District of Columbia,107,166,12379
AL,Alabama,01,33,NH,New Hampshire,103,188,8144
AL,Alabama,01,46,SD,South Dakota,100,214,5930
AL,Alabama,01,30,MT,Montana,99,196,4612
AL,Alabama,01,56,WY,Wyoming,94,190,4924
AL,Alabama,01,10,DE,Delaware,89,200,6749
AL,Alabama,01,23,ME,Maine,85,180,4391
AL,Alabama,01,44,RI,Rhode Island,65,111,3593
AL,Alabama,01,50,VT,Vermont,33,52,2175
AK,Alaska,02,96,US+FO,AK Total Migration-US and Foreign,14852,28185,895915
AK,Alaska,02,97,US,Total Migration-US,14419,27210,871218
AK,Alaska,02,98,FO,Total Migration-Foreign,433,975,24697
AK,Alaska,02,97,US,AK Total Migration-Same State,6887,12604,417799
AK,Alaska,02,02,AK,AK Non-migrants,261362,527600,22099883
AK,Alaska,02,53,WA,Washington,1391,2470,83709
AK,Alaska,02,06,CA,California,1350,2273,88411
AK,Alaska,02,48,TX,Texas,1264,2642,93162
AK,Alaska,02,12,FL,Florida,779,1404,37958
AK,Alaska,02,08,CO,Colorado,681,1280,43970
AK,Alaska,02,04,AZ,Arizona,679,1285,46427
AK,Alaska,02,41,OR,Oregon,678,1205,37598
AK,Alaska,02,37,NC,North Carolina,462,1041,26356
AK,Alaska,02,57,FR,Foreign,433,975,24697
AK,Alaska,02,13,GA,Georgia,424,915,24709
AK,Alaska,02,51,VA,Virginia,410,809,24452
AK,Alaska,02,32,NV,Nevada,366,687,20412
AK,Alaska,02,49,UT,Utah,336,685,20205
AK,Alaska,02,36,NY,New York,322,525,16193
AK,Alaska,02,16,ID,Idaho,311,628,16238
AK,Alaska,02,15,HI,Hawaii,281,561,15681
AK,Alaska,02,47,TN,Tennessee,258,565,14365
AK,Alaska,02,27,MN,Minnesota,244,404,15535
AK,Alaska,02,26,MI,Michigan,241,410,13291
AK,Alaska,02,39,OH,Ohio,240,387,14329
AK,Alaska,02,45,SC,South Carolina,230,464,11340
AK,Alaska,02,40,OK,Oklahoma,229,496,13864
AK,Alaska,02,17,IL,Illinois,224,383,12075
AK,Alaska,02,30,MT,Montana,222,402,12959
AK,Alaska,02,29,MO,Missouri,212,424,10089
AK,Alaska,02,55,WI,Wisconsin,200,336,11374
AK,Alaska,02,42,PA,Pennsylvania,196,332,12469
AK,Alaska,02,35,NM,New Mexico,168,344,11902
AK,Alaska,02,22,LA,Louisiana,165,340,9695
AK,Alaska,02,01,AL,Alabama,159,354,9868
AK,Alaska,02,20,KS,Kansas,153,349,8530
AK,Alaska,02,24,MD,Maryland,143,270,9769
AK,Alaska,02,18,IN,Indiana,127,205,6894
AK,Alaska,02,21,KY,Kentucky,124,258,7079
AK,Alaska,02,25,MA,Massachusetts,121,181,7051
AK,Alaska,02,05,AR,Arkansas,108,247,5485
AK,Alaska,02,34,NJ,New Jersey,108,194,6204
AK,Alaska,02,28,MS,Mississippi,93,178,5985
AK,Alaska,02,56,WY,Wyoming,89,181,8704
AK,Alaska,02,23,ME,Maine,86,153,4644
AK,Alaska,02,38,ND,North Dakota,85,169,4290
AK,Alaska,02,31,NE,Nebraska,69,134,4144
AK,Alaska,02,46,SD,South Dakota,67,129,3262
AK,Alaska,02,19,IA,Iowa,67,92,2785
AK,Alaska,02,09,CT,Connecticut,55,74,2926
AK,Alaska,02,33,NH,New Hampshire,46,67,4182
AK,Alaska,02,54,WV,West Virginia,37,63,1613
AK,Alaska,02,11,DC,District of Columbia,36,57,4375
AK,Alaska,02,10,DE,Delaware,34,78,1917
AK,Alaska,02,50,VT,Vermont,29,40,1606
AK,Alaska,02,44,RI,Rhode Island,20,40,1135
AZ,Arizona,04,96,US+FO,AZ Total Migration-US and Foreign,135629,240595,12161508
AZ,Arizona,04,97,US,Total Migration-US,134643,238555,12104082
AZ,Arizona,04,98,FO,Total Migration-Foreign,986,2040,57427
AZ,Arizona,04,97,US,AZ Total Migration-Same State,52429,95177,2834521
AZ,Arizona,04,04,AZ,AZ Non-migrants,2557290,5151958,201684309
AZ,Arizona,04,06,CA,California,35173,63097,3689374
AZ,Arizona,04,53,WA,Washington,9089,16673,856140
AZ,Arizona,04,48,TX,Texas,8048,14613,600020
AZ,Arizona,04,17,IL,Illinois,6758,11778,955655
AZ,Arizona,04,08,CO,Colorado,6606,11264,558697
AZ,Arizona,04,32,NV,Nevada,4490,7797,290614
AZ,Arizona,04,41,OR,Oregon,4386,7804,369298
AZ,Arizona,04,12,FL,Florida,4316,7142,308310
AZ,Arizona,04,36,NY,New York,3550,5556,384574
AZ,Arizona,04,35,NM,New Mexico,3469,6344,192833
AZ,Arizona,04,27,MN,Minnesota,3287,5655,353502
AZ,Arizona,04,49,UT,Utah,3059,6140,201529
AZ,Arizona,04,26,MI,Michigan,2880,4964,237437
AZ,Arizona,04,55,WI,Wisconsin,2786,4761,260544
AZ,Arizona,04,39,OH,Ohio,2485,4216,175023
AZ,Arizona,04,42,PA,Pennsylvania,2165,3574,196767
AZ,Arizona,04,51,VA,Virginia,1984,3625,208649
AZ,Arizona,04,37,NC,North Carolina,1887,3487,127863
AZ,Arizona,04,18,IN,Indiana,1887,3312,135799
AZ,Arizona,04,29,MO,Missouri,1861,3321,125236
AZ,Arizona,04,13,GA,Georgia,1766,3172,125009
AZ,Arizona,04,16,ID,Idaho,1710,3255,100959
AZ,Arizona,04,19,IA,Iowa,1478,2541,109213
AZ,Arizona,04,34,NJ,New Jersey,1410,2415,170270
AZ,Arizona,04,47,TN,Tennessee,1371,2474,87342
AZ,Arizona,04,25,MA,Massachusetts,1206,1925,127150
AZ,Arizona,04,15,HI,Hawaii,1112,2114,71084
AZ,Arizona,04,20,KS,Kansas,1100,2026,77508
AZ,Arizona,04,31,NE,Nebraska,1079,1915,81820
AZ,Arizona,04,30,MT,Montana,1069,1842,114459
AZ,Arizona,04,40,OK,Oklahoma,1022,1893,61725
AZ,Arizona,04,24,MD,Maryland,1001,1740,87904
AZ,Arizona,04,57,FR,Foreign,986,2040,57427
AZ,Arizona,04,02,AK,Alaska,943,1704,73354
AZ,Arizona,04,46,SD,South Dakota,844,1455,58257
AZ,Arizona,04,45,SC,South Carolina,841,1622,64845
AZ,Arizona,04,38,ND,North Dakota,828,1444,59710
AZ,Arizona,04,56,WY,Wyoming,732,1364,64999
AZ,Arizona,04,21,KY,Kentucky,656,1149,33503
AZ,Arizona,04,09,CT,Connecticut,652,1055,63940
AZ,Arizona,04,22,LA,Louisiana,608,1062,38035
AZ,Arizona,04,01,AL,Alabama,564,1027,32784
AZ,Arizona,04,05,AR,Arkansas,526,958,35113
AZ,Arizona,04,28,MS,Mississippi,352,641,15693
