y2_state,y2_state_name,y2_statefips,y1_statefips,y1_state,y1_state_name,n1,n2,AGI
US+FO,AL Total Migration-US and Foreign,96,01,AL,Alabama,55668,113649,3058064
US,Total Migration-US,97,01,AL,Alabama,54873,111668,3010171
FO,Total Migration-Foreign,98,01,AL,Alabama,795,1981,47892
US,AL Total Migration-Same State,97,01,AL,Alabama,71530,148378,3510398
AL,AL Non-migrants,01,01,AL,Alabama,1557431,3431227,98499373
GA,Georgia,13,01,AL,Alabama,9625,19361,459014
FL,Florida,12,01,AL,Alabama,8189,16218,450844
TN,Tennessee,47,01,AL,Alabama,5283,10650,299760
TX,Texas,48,01,AL,Alabama,4330,9244,255594
MS,Mississippi,28,01,AL,Alabama,2925,6115,131741
NC,North Carolina,37,01,AL,Alabama,2181,4524,133927
CA,California,06,01,AL,Alabama,1914,3459,101427
VA,Virginia,51,01,AL,Alabama,1642,3531,108556
LA,Louisiana,22,01,AL,Alabama,1303,2664,74572
SC,South Carolina,45,01,AL,Alabama,1294,2839,88580
CO,Colorado,08,01,AL,Alabama,1180,2383,69315
OH,Ohio,39,01,AL,Alabama,1097,2244,57446
KY,Kentucky,21,01,AL,Alabama,957,2099,54801
IL,Illinois,17,01,AL,Alabama,942,1763,50551
MI,Michigan,26,01,AL,Alabama,934,1827,49961
NY,New York,36,01,AL,Alabama,927,1775,47132
WA,Washington,53,01,AL,Alabama,819,1761,47825
FR,Foreign,57,01,AL,Alabama,795,1981,47892
IN,Indiana,18,01,AL,Alabama,772,1564,38986
AZ,Arizona,04,01,AL,Alabama,697,1440,42694
MO,Missouri,29,01,AL,Alabama,691,1473,40118
PA,Pennsylvania,42,01,AL,Alabama,664,1288,41555
MD,Maryland,24,01,AL,Alabama,595,1178,39442
AR,Arkansas,05,01,AL,Alabama,499,1067,25599
OK,Oklahoma,40,01,AL,Alabama,434,951,22493
KS,Kansas,20,01,AL,Alabama,417,1024,23386
MA,Massachusetts,25,01,AL,Alabama,358,627,23219
HI,Hawaii,15,01,AL,Alabama,328,798,17742
NJ,New Jersey,34,01,AL,Alabama,325,608,16601
NV,Nevada,32,01,AL,Alabama,301,593,21210
WI,Wisconsin,55,01,AL,Alabama,301,589,13869
OR,Oregon,41,01,AL,Alabama,282,483,14312
MN,Minnesota,27,01,AL,Alabama,262,495,15539
AK,Alaska,02,01,AL,Alabama,244,559,13252
UT,Utah,49,01,AL,Alabama,234,559,14933
IA,Iowa,19,01,AL,Alabama,231,481,10887
NM,New Mexico,35,01,AL,Alabama,228,498,11998
CT,Connecticut,09,01,AL,Alabama,188,384,12358
DC,District of Columbia,11,01,AL,Alabama,158,229,10002
NE,Nebraska,31,01,AL,Alabama,152,331,8005
WV,West Virginia,54,01,AL,Alabama,152,309,7875
ID,Idaho,16,01,AL,Alabama,125,314,6481
MT,Montana,30,01,AL,Alabama,107,227,6462
ME,Maine,23,01,AL,Alabama,98,192,5169
ND,North Dakota,38,01,AL,Alabama,92,214,4073
SD,South Dakota,46,01,AL,Alabama,84,172,4335
NH,New Hampshire,33,01,AL,Alabama,76,120,3758
DE,Delaware,10,01,AL,Alabama,74,123,4022
WY,Wyoming,56,01,AL,Alabama,68,146,3872
RI,Rhode Island,44,01,AL,Alabama,50,101,2895
VT,Vermont,50,01,AL,Alabama,44,74,1982
US+FO,AK Total Migration-US and Foreign,96,02,AK,Alaska,24554,52364,1538666
US,Total Migration-US,97,02,AK,Alaska,23997,51120,1509996
FO,Total Migration-Foreign,98,02,AK,Alaska,557,1244,28670
US,AK Total Migration-Same State,97,02,AK,Alaska,8067,15530,475064
AK,AK Non-migrants,02,02,AK,Alaska,254982,531710,20165701
WA,Washington,53,02,AK,Alaska,2973,5636,188588
TX,Texas,48,02,AK,Alaska,1825,4407,148474
CA,California,06,02,AK,Alaska,1819,3529,98686
OR,Oregon,41,02,AK,Alaska,1328,2430,79106
FL,Florida,12,02,AK,Alaska,1313,2804,80420
AZ,Arizona,04,02,AK,Alaska,1191,2328,79173
CO,Colorado,08,02,AK,Alaska,1085,2269,70174
NC,North Carolina,37,02,AK,Alaska,739,1832,42172
ID,Idaho,16,02,AK,Alaska,722,1658,55769
NV,Nevada,32,02,AK,Alaska,672,1342,44460
