y1_statefips,y2_statefips,y2_state,y2_state_name,n1,n2,AGI,y2_state,y2_state_name
01,96,US+FO,Total Migration-US and Foreign,49961,88139,3193874,US+FO,Total Migration-US and Foreign
01,97,US,Total Migration-US,49167,86565,3140151,US,Total Migration-US
01,98,FO,Total Migration-Foreign,794,1574,53723,FO,Total Migration-Foreign
01,97,US,Total Migration-US,64836,120055,3691289,US,Total Migration-US
01,01,AL,Alabama,1713388,3550021,139765985,AL,Alabama
01,13,GA,Georgia,8527,15500,466822,GA,Georgia
01,12,FL,Florida,7060,12289,524870,FL,Florida
01,47,TN,Tennessee,4554,7613,292191,TN,Tennessee
01,48,TX,Texas,4359,7913,296646,TX,Texas
01,28,MS,Mississippi,2588,4788,151275,MS,Mississippi
01,37,NC,North Carolina,1904,3351,125401,NC,North Carolina
01,06,CA,California,1589,2630,111006,CA,California
01,51,VA,Virginia,1388,2559,106126,VA,Virginia
01,45,SC,South Carolina,1189,2053,89520,SC,South Carolina
01,08,CO,Colorado,1135,1925,75846,CO,Colorado
01,22,LA,Louisiana,1101,1894,66858,LA,Louisiana
01,39,OH,Ohio,944,1714,54482,OH,Ohio
01,17,IL,Illinois,940,1567,53642,IL,Illinois
01,36,NY,New York,931,1442,50374,NY,New York
01,26,MI,Michigan,815,1347,36290,MI,Michigan
01,57,,,794,1574,53723,,
01,21,KY,Kentucky,750,1353,49559,KY,Kentucky
01,53,WA,Washington,686,1187,43927,WA,Washington
01,18,IN,Indiana,679,1200,35244,IN,Indiana
01,29,MO,Missouri,650,1163,38850,MO,Missouri
01,04,AZ,Arizona,604,1067,40409,AZ,Arizona
01,42,PA,Pennsylvania,560,910,31649,PA,Pennsylvania
01,24,MD,Maryland,554,932,40185,MD,Maryland
01,05,AR,Arkansas,464,847,28590,AR,Arkansas
01,40,OK,Oklahoma,420,864,24064,OK,Oklahoma
01,20,KS,Kansas,363,782,21627,KS,Kansas
01,55,WI,Wisconsin,340,574,19396,WI,Wisconsin
01,25,MA,Massachusetts,319,471,21692,MA,Massachusetts
01,32,NV,Nevada,316,567,20413,NV,Nevada
01,34,NJ,New Jersey,300,472,18722,NJ,New Jersey
01,41,OR,Oregon,277,444,16439,OR,Oregon
01,49,UT,Utah,276,525,20778,UT,Utah
01,27,MN,Minnesota,248,399,14329,MN,Minnesota
01,19,IA,Iowa,222,436,13727,IA,Iowa
01,35,NM,New Mexico,214,369,14524,NM,New Mexico
01,15,HI,Hawaii,212,447,14614,HI,Hawaii
01,02,AK,Alaska,210,403,12585,AK,Alaska
01,31,NE,Nebraska,168,328,11303,NE,Nebraska
01,11,DC,District Of Columbia,165,188,12918,DC,District Of Columbia
01,09,CT,Connecticut,162,257,9908,CT,Connecticut
01,54,WV,West Virginia,146,264,10174,WV,West Virginia
01,30,MT,Montana,142,242,8542,MT,Montana
01,16,ID,Idaho,130,266,8138,ID,Idaho
01,23,ME,Maine,102,171,7340,ME,Maine
01,56,WY,Wyoming,76,150,5645,WY,Wyoming
01,46,SD,South Dakota,74,140,4547,SD,South Dakota
01,38,ND,North Dakota,74,155,3688,ND,North Dakota
01,10,DE,Delaware,69,116,4106,DE,Delaware
01,33,NH,New Hampshire,66,116,3887,NH,New Hampshire
01,44,RI,Rhode Island,64,98,4748,RI,Rhode Island
01,50,VT,Vermont,41,77,2532,VT,Vermont
02,96,US+FO,Total Migration-US and Foreign,16482,30613,1166189,US+FO,Total Migration-US and Foreign
02,97,US,Total Migration-US,16018,29748,1135840,US,Total Migration-US
02,98,FO,Total Migration-Foreign,464,865,30349,FO,Total Migration-Foreign
02,97,US,Total Migration-US,6034,10864,426337,US,Total Migration-US
02,02,AK,Alaska,272797,546168,26772183,AK,Alaska
02,53,WA,Washington,1600,2642,122661,WA,Washington
02,48,TX,Texas,1349,2738,104785,TX,Texas
02,06,CA,California,1143,1903,71061,CA,California
02,12,FL,Florida,970,1916,73719,FL,Florida
02,04,AZ,Arizona,926,1630,69023,AZ,Arizona
02,41,OR,Oregon,755,1200,52140,OR,Oregon
02,08,CO,Colorado,697,1237,47851,CO,Colorado
02,37,NC,North Carolina,518,1037,34462,NC,North Carolina
